name,introduction,itinerary,destination_location
Let the Thai Baht Coins Lead You to Temples!,"Have you ever noticed what appears on Thai coins? Actually, those places are the historic temples around <a class=""auto-highlight"" href=""/to/Bangkok"" target=""_blank"">Bangkok</a> and surely, they are must-visit places. Flip the coins and join my journey! You will discover more of what you see on the coins.","08:30 - Meet up at hotel lobby (in <a class=""auto-highlight"" href=""/to/Bangkok"" target=""_blank"">Bangkok</a> area) / 09:00 - 5 Baht coin (The Marble Temple)Explore the captivating marble temple with beautiful white, gold and red decorations. / 09:30 - 2 Baht coin (The Golden Mount) Climb to the top of the golden stupa, then enjoy the scenery from the top. / 11:00 - Have lunch / 12:00 - 1 Baht coin (The Temple of the Emerald Buddha and the Grand Palace) Admire the Emerald Buddha and see the world's longest murals. Then take photos with the Chakri Maha Prasat Throne. / 14:00 - 10 Baht coin (Wat Arun or the Temple of Dawn) Enjoy the breathtaking scenery along the Chao Phraya River.",Bangkok
Let's Bike to 3 Bays & 2 Mountains at Prachuap Khiri Khan!,"Join me and you'll climb the Lommuak Mountain and the Chong Ka Chok Mountain! Let's bike along to see 3 bays in the morning for about 10kms! You'll see very beautiful views in my hometown, and then find some delicious local food to eat!b","08:00 - Meet up at Railway Station (Prachuap Khiri Khan Railway Station) / 08:30 - Hello! I will take you to get a bicycle to ride to Khao Lom Muak Mountain! We'll take around 1-2 hr to climb up and down! Of course, we'll take a few pictures! / 10:30 - Next, we'll ride to along the fist bay, the ""Ao Manao Bay"" to the second bay (""Prachuap Bay"")! Let's walk to the mountain peak to see the temple on top of the mountain, and see the whole city on the ""Khao Chong Kra Chok Mountain""! / 11:30 - Then, we'll ride to the third bay, which is the ""Ao Noi Bay""! We'll end the trip at Khao Ta Mong Lai Mountain! Although you can't climb it, but it's beautiful! / 12:45 - Time to find some local food for lunch! You can ask me for recommendations on what to eat!",Prachuap Khiri Khan
Journey from Past to Present of Craft & Design in Bangkok Old Town,"If you interested in Craft & Design and want to learn it around <a class=""auto-highlight"" href=""/to/Bangkok"" target=""_blank"">Bangkok</a> old town like temple, street life, design center and design studio. This trip will get you in touch with traditional craftsmanship to works by present young designers.","10:00 - Meet up at our meeting point- Airport Rail Link Station (Any Station)- BTS Station (Any Station)- Hotel lobby (in <a class=""auto-highlight"" href=""/to/Bangkok"" target=""_blank"">Bangkok</a> area)- MRT Station (Any Station) / 10:15 - Starting heading to the Grand Palace & Wat Phra Kaew to see the traditional Craft and Design in Thailand. / 12:00 - Enjoy the lunch with Street food or Thai restaurant at Tha Tian Market. / 13:00 - Move to the next temple, Wat Pho (the largest reclining Buddha.) It's also home to the traditional Thai medical and massage. / 14:00 - Move to Wat Arun one of <a class=""auto-highlight"" href=""/to/Bangkok"" target=""_blank"">Bangkok</a>'s most famous landmarks with the Khmer-style tower called Prang. / 15:00 - Heading to TCDC (Thailand Creative & Design Center) by Chao Phraya Express Boat. / 15:30 - Explore and enjoy a Thailand creative & design center,  you can see the presence of design sphere in Thailand at here. / 16:30 - Heading to The Jam Factory, that is a creative space, restaurant, cafe and bookshop in anything used to be an old factory. / 17:30 - Get a Thai dinner in a design atmosphere from the shop owner who has a passion for Thai cuisine at The Never Ending Summer Restaurant. / 18:30 - End of trip, send you back to your hotel.",Bangkok
"Khlong Lat Mayom Floating Market ",This floating market is definitely a food heaven. All sorts of Thailand local cuisine could be found there. Take a boat trip along the canal at the back of people's houses where you get to see the local way of life.,"10:30 - Meet up at BTS Station (Bang Wa) / 11:00 - Arrive at Klong <a class=""auto-highlight"" href=""/article/lat-mayom-floating-market"" target=""_blank"">Lat Mayom floating market</a> / 11:30 - Take a paddle boat trip along the canal, sightseeing, and observe the local way of life.  / 13:00 - Try different local foods and desserts and buy some souvenirs. / 15:00 - Drop you off at the BTS station /  - Please note for pick up service - At BangWa BTS station Free- Thon buri district 600 Baht- <a class=""auto-highlight"" href=""/to/Bangkok"" target=""_blank"">Bangkok</a> Area 1000 Bath",Bangkok
Trek to the Peak: Doi Inthanon and Kew Mae Pan Nature Trail!,"Let's go trekking on the highest mountain in Thailand, and take a 2 hour walk at Kew Mae Pan, the most beautiful nature trail in <a class=""auto-highlight"" href=""/to/Chiang Mai"" target=""_blank"">Chiang Mai</a> all in one day!","07:30 - Meet up at hotel lobby (in <a class=""auto-highlight"" href=""/to/Chiang Mai"" target=""_blank"">Chiang Mai</a> area) / 09:30 - Let's start by seeing the King & Queen pagoda in the beautiful flower garden! / 10:30 - Let's trek to the summit of Doi Inthanon Mountain, which is the highest peak in Thailand at over 2,565 meters (8,400 ft.) above sea level! / 11:15 - Next, we'll be trekking at the Kew Mae Pan Nature Trail for 2 hours for about 3.2 km to see the most beautiful view you'll ever see in <a class=""auto-highlight"" href=""/to/Chiang Mai"" target=""_blank"">Chiang Mai</a>! / 13:30 - Let's savor some delicious Thai food for lunch! / 14:00 - After lunch, let's visit the local market (Hmong Market) where you can shop for local fruits, vegetables and other local Thai food! / 14:30 - Next let's head over to Sirithan Waterfall! / 15:00 - After that, we'll visit the Rainbow Waterfall (Wachirathan Falls) where you can see the rainbow from the highest waterfall in the national park! / 17:30 - We're at the end of the trip! I'll send you off at your hotel! Thank you very much for joining me!",Chiang Mai
Bangkok Riverside Food Tour:  Visit 3 Riverside Areas Full of Delicious Dishes,"Take a boat ride to <a class=""auto-highlight"" href=""/to/Bangkok"" target=""_blank"">Bangkok</a>'s signature riverside areas and enjoy Thai food along with local stories.","09:00 - Meet up at BTS Station (Saphan Taksin) / 09:15 - Take a boat ride along the Chao Phraya River, observe the local lifestyle and feel the <a class=""auto-highlight"" href=""/to/Bangkok"" target=""_blank"">Bangkok</a> breeze. / 10:00 - Arrive at Tha Maharaj riverside area.  Take in the beautiful view of the Chao Phraya River and walk around the place. After that, we'll eat some Thai ice cream at Lamoon Icecream. 🍦🍨🍧 / 11:00 - Next, we head to Tha Phra Chan riverside area and go to the local restaurants around. There are 3 restaurants: Aroy, New Yong Hua Phot Cha Na, and Nam Phan Tha Pra Jan. Let's dig in! / 14:00 - We head to the Tha Phra Athit riverside area.We can learn about the historic Phra Sumen Fort. Then we'll taste many delicious food such as roll noodle soup (Kuay Jab), noodles, Roti Mataba, hot tea, and loads more. / 18:00 - Time to bid farewell 😭Good luck! 💕",Bangkok
"Umbrella Railway Market & Amphawa Floating Market ","This tour will show you 2 exotic kinds of market! <a class=""auto-highlight"" href=""/article/maeklong-railway-market"" target=""_blank"">Maeklong Railway Market</a> (aka <a class=""auto-highlight"" href=""/article/maeklong-railway-market"" target=""_blank"">Umbrella Market</a>) and <a class=""auto-highlight"" href=""/article/amphawa-floating-market"" target=""_blank"">Amphawa Floating Market</a>. Hotel pickup, Lunch and Boat ride included! Note: Mon-Thu floating market is less vibrant but boat ride is always possible.","08:30 - Meet up at hotel lobby (in <a class=""auto-highlight"" href=""/to/Bangkok"" target=""_blank"">Bangkok</a> area) / 10:30 - Arrive at <a class=""auto-highlight"" href=""/article/maeklong-railway-market"" target=""_blank"">Maeklong Railway Market</a> / 11:00 - Explore the local products in the market. Here seafood is really good quality and cheap. / 11:15 - Observe the umbrella starting to shut and the shops disappearing ! / 12:30 - Lunch / 13:30 - Take a boat ride to explore the local community along the canal. / 15:30 - Relaxing exploring the floating market / 16:15 - Head back to your hotel.",Samut Songkhram
Local Fishing Experience in Kampot,"This trip doesn't specific for only fishing enthusiasts, since we'll take you to see the Fishing Village on the edge of Kampot with picturesque drive along the way. Then, you'll get to learn several traditional fishing techniques with the local.","07:00 - Meet up at hotel lobby (in Kampot area) / 08:00 - Take the boat at the local fishing boat port / 09:00 - Fishing experience, you will discover how locals fishing / 11:00 - Snacks / 11:30 - Ride the boat back to the local fishing port / 12:00 - Back to the hotel",Kampot
Boat riding along the canal & food tours in a historic site.,"Discover the historic site with local lifestyle along canal, the part of Chao Praya Rive and explore the ancient community at Art Houses area. Walking tour along the culture site food area which many dishes are two thumbs-up and well-know.","11:00 - Meet up at BTS Pho Nimitr station, exit 1 / 11:15 - Hop in a TukTuk to the real charm and beat of Thonburi, <a class=""auto-highlight"" href=""/to/Bangkok"" target=""_blank"">Bangkok</a> -  a historical site with harmony community beside <a class=""auto-highlight"" href=""/to/Bangkok"" target=""_blank"">Bangkok</a> Yai Canal former be a part of Chao Praya River.  / 12:15 - Start foodie tours, wander along the street food. Let' enjoy & fun of  food tasting, local Kopi, finger food, main dish and don't miss out the signature snack menu since World War II, today turns to the 4th generation business. / 13:00 - Take boat ride to explore local lifestyle along the canal which more than 10 Thai Temples are besides. / 13:30 - Discover Art houses and the ancient communities beside the canal. Sit & Sip a cup of coffee surrounding the old stories beside you.  / 14:00 - Enjoy a traditional handcrafted puppet shows in a hidden gems. (Only Wed, Fri and Sun) / 15:30 - Take you back to BTS Pho Nimitr. Have a wonderful memory in the OLD capital of Thailand. ",Bangkok
"Nature Hiking at Khao Yai National Park! ","Just 2.5 hours away from <a class=""auto-highlight"" href=""/to/Bangkok"" target=""_blank"">Bangkok</a>, Khao Yai is the third largest national park in Thailand, and is a World Heritage Site declared by UNESCO. You'll see a rich diversity of plants and the wildlife in the rain/evergreen forests and grassland!","07:00 - Meet up at our meeting point- Airport (Suvarnabhumi Airport)- Airport Rail Link Station (Lat Krabang Station)- Hotel lobby (in <a class=""auto-highlight"" href=""/to/Bangkok"" target=""_blank"">Bangkok</a> area) / 10:00 - Arrive Khao Yai National Park in Nakhon Ratchasima. Let's take a break at the Khao Yai Viewpoint! You will see many different types of animals! Enjoy the diversity! / 10:30 - Take a 3 k.m. hike from Pha Kluai Mai Campsite to Haew Suwat Waterfall (which was in the scene of movie ""The Beach"" starring Leonardo DiCaprio)! Absorb the peaceful atmosphere in this hot, hot day! You can take pictures too, of course! / 12:00 - Time to have lunch at a local restaurant! / 13:30 - Take a 1 k.m. hike to the Haew Narok Waterfall! Along the hike, you will see some birds, lizards, and other animals! If you're lucky, you might even see an elephant! / 15:30 - It's time to return to <a class=""auto-highlight"" href=""/to/Bangkok"" target=""_blank"">Bangkok</a>! / 19:00 - Safely arrive at <a class=""auto-highlight"" href=""/to/Bangkok"" target=""_blank"">Bangkok</a>. Hope you've had a good nap on the way back. Have a good night!",Nakhon Ratchasima
Similan Islands early bird day trip,Visit the most beautiful islands in Thailand earlier which you can do snorkeling and relax on white sandy beach. (Exclusive tour avoid crowds),"06:30 - Meet up at hotel lobby (in Phang Nga area) / 07:00 - Get ready! - Check-in at private pier (Tublamu).Enjoy warm bread, tea and coffee as you recieve a briefing from beloved eco-heart tour guide. / 07:30 - Let start! - Hop on first-class speedboat and heading to Similan Islands. / 08:45 - Take a rest at Mieng Island(Island No.4) - head to the gorgeous beach of the Princess Bay for more scenic photos and relaxing time without crowds. / 10:45 - 1st snorkeling spot - Finding Nemo! depart to the 1st snorkeling point at Payu Island(Island No.7) where sea turtles and clown fish(Nemo) are often sighted. / 11:45 - Lunch time - Enjoy a home cooked delicious Thai lunch buffet with chicken and fresh fruits on the beach. / 12:30 - Donald Duck Bay Similan Islands (Island No.8) - Let's do some hiking to the famous symbolic Sail-Rock for some amazing scenery and worth a 100+ likes Instagram shot. After the hike, white sandy beach is perfect for relaxing, swimming and sunbathing. / 13:30 - 2nd snorkeling spot at Ba Ngu Island (Island No.9)It's snorkeling time! Let's explore the breathtaking Coral Bay, the best place to see all defferent kinds of fish in colorful sightseeing underwater world. / 14:30 - Time to say goodbye - Heading back from Similan Islands to the pier. / 16:45 - Back to hotel - Arrive safely at the pier, have another meal with 'Pad Thai' , 'Chicken Satay' and 'Papaya Salad' then get on a transfer back to the hotel with a backpack full of wonderful memories, salty hair and tan skin!",Phang Nga
Thai Cooking Class: Experience the Home-Cooked Tom Kha Kai!,"In this trip, you will visit a local market in Nonthaburi to buy ingredients to cook the Thai Tom Kha Kai! (Chicken in Coconut Broth) I'm sure that you'll enjoy your lunch with your first homemade dish! Enjoy!","09:30 - Meet up at MRT Station (Ministry of Public Health, Ministry of Public Health) / 10:00 - Let's start our trip by walking in a local market in  Nonthaburi to buy ingredients, and we'll also buy some seafood (if you want)! After we finish buying the ingredients, we will go to my house to cook! / 11:00 - Let's start cooking our Tom Kha Kai or Thai Chicken in Coconut Soup! I assure you that you'll have a great time cooking this dish! / 12:00 - Enjoy your homemade dish after we finish cooking! Let's taste what you've just made! / 13:00 - After we finish eating, I'll send you back to meeting point. I hope you enjoyed this delicious meal!",Nonthaburi
Come Experience a Unique Lanna Cooking Class! (Lunch Time),"Let's eat with local Lanna cooks with food cooked on site! The meal includes organic vegetables from our gardens. The true Lanna culture and lifestyle will be yours to experience and be cherished for years! Come, join us for lunch!","09:00 - Meet up at Attractions (<a class=""auto-highlight"" href=""/to/Chiang Mai"" target=""_blank"">Chiang Mai</a> Gate) / 10:00 - You'll be picked up by our host named ""Aoy”! Then, she will take you to visit a local market and continue to her house by local transport, also known as “Rod Song Taew” and ""Motor-tricycle""  or “Rod Phong.”! / 11:00 - Next, we'll visit a local village and organic farm! Then, we'll cook Lanna food together like family! We'll talk & share experiences with Aoy & her family! The food we'll cook is Northern Thai food or Lanna food with a charcoal stove! /  - There are 4 dishes including desserts! For example: Chicken local soup with tamarind, Abb Moo (Minced pork with curry paste wrapped in banana leaves), Sai Aoua (<a class=""auto-highlight"" href=""/to/Chiang Mai"" target=""_blank"">Chiang Mai</a> sausage), Laap Moo Koua (Minced pork salad), and so many more! / 13:00 - Have the meal together like a local! The place is in the countryside surrounded by rice fields, orchard, and organic farms! You'll experience the real locals and you will learn something new! See how locals live, share cultures, and eat together! / 15:00 - This is the end of the trip! I hope you enjoyed it, and thank you very much for joining me!",Chiang Mai
Half Day Trip to Maeklong Railway and Amphawa Floating Markets(Weekend),"Let's enjoy local foods and desserts and have fun with a boat trip. We will be exploring ones of the most iconic markets of <a class=""auto-highlight"" href=""https://www.takemetour.com/to/Samut%20Songkhram"" target=""_blank"">Samut Songkram</a> province. <a class=""auto-highlight"" href=""/article/maeklong-railway-market"" target=""_blank"">Umbrella market</a> and <a class=""auto-highlight"" href=""/article/amphawa-floating-market"" target=""_blank"">Amphawa floating market</a>.","12:00 - Meet up at our meeting point- Hotel lobby (in <a class=""auto-highlight"" href=""/to/Bangkok"" target=""_blank"">Bangkok</a> area)- BTS Station (Surasak) / 14:00 - Arrive in <a class=""auto-highlight"" href=""/article/maeklong-railway-market"" target=""_blank"">Maeklong Railway Market</a>. Are you hungry? If the answer is yes, let's do it here! You will see the market on the railway. You can feel the life style of the people. You want to take the picture? Let's do it! But watch out, the train is coming! ( / 14:30 - Have some lunch with local restaurant by rice or noodle. You can choose. / 15:00 - Are you ready for <a class=""auto-highlight"" href=""/article/amphawa-floating-market"" target=""_blank"">Amphawa Floating Market</a>? Arrive at the floating market and enjoy food, fruit and dessert. Take picture here feel the lifestyle of floating market! Enjoy Thai food for dinner. / 18:30 - Another boat trip to see the fireflies at night! / 20:00 - Head back to <a class=""auto-highlight"" href=""/to/Bangkok"" target=""_blank"">Bangkok</a>. / 22:00 - Arrive in <a class=""auto-highlight"" href=""/to/Bangkok"" target=""_blank"">Bangkok</a> and send you back to your hotel or meeting point.",Samut Songkhram
Good Morning Bangkok: Morning Jog and Thai Breakfast in the Beautiful Lumphini Park,"Let's experience <a class=""auto-highlight"" href=""/to/Bangkok"" target=""_blank"">Bangkok</a> like a local! You will be jogging early morning at Lumphini Park, the best time and place to immerse yourself in the local scene. Then we'll have local-style breakfast together.","07:00 - Meet up at our meeting point- MRT Station (Si Lom)- BTS Station (Sala Daeng) / 07:15 - Start our exercise at Lumphini Park, which is the most popular park for locals and expats to exercise and jog. The park is full of old trees and big pond and surrounded by high-rises. / 08:15 - Time for breakfast. <a class=""auto-highlight"" href=""/to/Bangkok"" target=""_blank"">Bangkok</a> offers a variety of food in the morning. Don't worry, I will recommend you what to eat! / 09:00 - End of the trip.",Bangkok
From Market to Table: Food Tasting and Hands-on Experience Making Street Food,"Hop on a Tuk Tuk to Thanon Chan Road and explore a fresh market, where you’ll get a hands-on experience making street food. Enjoy tasting delicious local dishes while seeing the local way of life and go back with a full tummy.","16:30 - Meet up at BTS Station (Surasak) / 16:45 - I will be waiting for you at Exit 2, Surasak BTS Station. Let's hop on a Tuk Tuk to Thanon Chan Road. / 17:00 - Explore a fresh market at Thanon Chan Road. The market is like a living museum where you can see the local lifestyle of the Thai-Chinese community. / 17:15 - Hands-on experience shaping and frying your own fish cakes. That's how you make them all the more delicious! Next, let's begin food tasting. There's a variety of dishes. / 18:00 - Wander around Thanon Chan Road area. Enjoy tasty ""Pork Satay"" and sit down for ""Pad Thai"", the signature Thai dish. Chill with a drink called ""Bon Appetit"". / 19:30 - After having desserts, I'll drop you off at Surasak BTS Station. Yes, you're now full and surely had a lot of fun.",Bangkok
Amazing tour in Battambang with Tuk Tuk,"With this trip, you will enjoy the countryside of Cambodia. The Local Expert will take you to explore the Bamboo train along the railway, visit the temple at the top of mountain and see the sunset at bat cave.","09:00 - Meet up at The Place Hostel & Rooftop / 10:00 - Visit Bamboo train (rail journey) / 11:00 - Visit Ek Phnom temple or Banan temple (+22km at the top of a mountain) / 12:00 - Have local lunch / 13:00 - Loook around the countryside : traditional place on the road (rice paper makers, fish paste, wine,…) / 14:30 - Visit Sampov Mountain (killing cave and temple with view) / 15:30 - Visit Bat cave : at the sunset to see bats leaving the cave / 16:30 - Back to the hotel",Battambang
Jog in Suan Luang Park and Have Fun with Water Sports,"We will walk or jogging in the garden (Suan luang Rama9) in the morning.And then We will go to play water activities such as canoe,kayak ,sailing and windsurfing.","08:00 - Meet up at hotel lobby (in <a class=""auto-highlight"" href=""/to/Bangkok"" target=""_blank"">Bangkok</a> area) / 09:00 - Arrive in the suan luang Rama 9 and we can walk around or jogging and can take a photo here with nice garden.Many people like to come here for exercise or picnic close the lake. / 12:00 - We will have lunch together.I will bring you to papaya salad restaurant.It is very popular food here. / 13:00 - We can sit by the lake or we can choose to do windsurfing, sailing, kayaking or canoeing. / 17:00 - Return to the hotel",Bangkok
"See Vintage Farm, Candle-Crafting Workshop & Hot Spring in Suan Phueng!","Join me and you go to a sightseeing tour of the famous places in Suan Phueng, <a class=""auto-highlight"" href=""/to/Ratchaburi"" target=""_blank"">Ratchaburi</a>! I'll bring you to a candle making workshop, a hot spring, and a vintage farm! If you're looking for a day trip near <a class=""auto-highlight"" href=""/to/Bangkok"" target=""_blank"">Bangkok</a>, this is perfect for you!","08:00 - Meet up at BTS Station (Chong Nonsi) / 10:30 - We arrive at Suan Phueng! Let's start by going to Baan Hom Tien, a really nice candle crafting workshop place where you can buy candles and make some yourself! Let's enjoy this one-of-a-kind experience! / 12:00 - Let's have lunch at a famous local restaurant! / 14:00 - After we finish our lunch, let's go to The Scenery Vintage Farm and Boe Khlueng Hot Spring. This is a great time to indulge yourself and relax! / 17:00 - We should arrive at BTS Chong Nonsi Station around this time! Thank you for joining me!",Ratchaburi
Galleries Galore: The Classical and Contemporary Arts of Bangkok,"Open your eyes and mind to classical and contemporary arts at various art centers and galleries in <a class=""auto-highlight"" href=""/to/Bangkok"" target=""_blank"">Bangkok</a>. Let's take a look at the blooming Thai art scene right here!","12:30 - Meet up at our meeting point- BTS Station (Any Station)- Airport Rail Link Station (Any Station)- MRT Station (Any Station)- Hotel lobby (in <a class=""auto-highlight"" href=""/to/Bangkok"" target=""_blank"">Bangkok</a> area) / 13:00 - Begin the trip at <a class=""auto-highlight"" href=""/to/Bangkok"" target=""_blank"">Bangkok</a> Art and Culture Centre or BACC (1 hour). / 14:30 - Next, we visit Queen Sirikit Gallery or the Queen's Gallery (1 hour). / 16:00 - We go on to the Ratchadamnoen Contemporary Art Center or RCAC84 (1 hour.) / 17:30 - Lastly, let's visit the National Museum of Royal Barges (1 hour). This is a special trip! / 18:30 - We end the trip at Tha Maharaj Pier and have dinner together.",Bangkok
"Amulet Market from Famous Temples in Nakhon Pathom ",The trip is featured with visiting many famous temples. We will also check out the local floating market afterwards. It's going to be intrigued and very fun :),"08:00 - Meet up at hotel lobby (in <a class=""auto-highlight"" href=""/to/Bangkok"" target=""_blank"">Bangkok</a> area) / 10:00 - Arrive at Wat Pailom (LP Pool) Temple, located in the central of Nakorn Pathom Province.   / 12:00 - Have Lunch at the exotic Thai restaurant in Nakorn pathom. Enjoy the authentic Thai taste :9 / 13:30 - Arrive at Wat Bang Pra (LP Bpern). There are a lot of amulets from LP Bpern here.    / 15:30 - Arrive wat Sam Ngam  (LP Yam) and check out the amulets and walk around a bit / 18:00 - Back to hotel or drop you by any places you prefer",Nakhon Pathom
"A Complete Weekend in Bangkok (JJ Market, Boat Ride, Rattanakosin Exhibition, & Fun Nightlife)","Full of fun and learn about Thailand. All the must-go. Exotic, creative, authentic to cheap and 2nd hand stuff shoppingChill out in the Chao Phraya riverLove our kings and <a class=""auto-highlight"" href=""/to/Bangkok"" target=""_blank"">Bangkok</a> just the way it isYour own way of night life in Khao San road","09:00 - Meet up at our meeting point- MRT Station (Any Station)- Hotel lobby (in <a class=""auto-highlight"" href=""/to/Bangkok"" target=""_blank"">Bangkok</a> area) / 09:30 - JJ weekend market (self-lunch in the market) / 12:30 - boat ride to Phra Athit pier / 13:00 - Pra Sumen fort / 13:30 - Rattanakosin Exhibition hall / 16:30 - Democracy monument / 17:00 - Night in Khao San road",Bangkok
Explore the west of Thailand: Damnoen Saduak Floating Market,"I was born in <a class=""auto-highlight"" href=""/to/Ratchaburi"" target=""_blank"">Ratchaburi</a>. I'm pleased to invite you to visit <a class=""auto-highlight"" href=""/article/damnoen-saduak"" target=""_blank"">Damnoen Saduak Floating Market</a>. This market will be busy in the morning. Merchants will use boat for transfer their products to the market. You will take a boat ride along the small canal.","07:00 - Meet up at hotel lobby (in <a class=""auto-highlight"" href=""/to/Bangkok"" target=""_blank"">Bangkok</a> area) /  - After that take driving to the west about 1.30-2 hours. (Depend on the traffic conditions). upon arrival, Damnoean Saduak Floating Market. You will take a boat to the small canal. You also can do testing local food. This is real time for relaxing. / 13:00 - Return back to your hotel in <a class=""auto-highlight"" href=""/to/Bangkok"" target=""_blank"">Bangkok</a> area.",Ratchaburi
Kanchanaburi: Explore Seven Heavenly Levels of Erawan Waterfall in One Day,"An exciting and refreshing <a class=""auto-highlight"" href=""/to/Kanchanaburi"" target=""_blank"">Kanchanaburi</a> tour from <a class=""auto-highlight"" href=""/to/Bangkok"" target=""_blank"">Bangkok</a>. Spend your whole day in nature at one of the most impressive waterfalls in Thailand, Erawan Waterfall in the Erawan National Park.","10:30 - Meet up at hotel lobby (in both <a class=""auto-highlight"" href=""/to/Bangkok"" target=""_blank"">Bangkok</a> area and <a class=""auto-highlight"" href=""/to/Kanchanaburi"" target=""_blank"">Kanchanaburi</a> area) / 11:30 - Arrive at Erawan Waterfall. Not just the Erawan Waterfall itself, the surrounding is also among the most stunning in Thailand. The turquoise water is super clear and you'll see lots of fish. / 12:00 - Have lunch. / 13:00 - Do the Erawan Waterfall trek. Enjoy the beauty of each level and greenery. / 15:00 - Relax and refresh yourself in nature. / 16:30 - Drop off at the meeting point",Kanchanaburi
"Food Tasting & Boat Riding Tour Through the Mangrove Forest in Samut Prakan ","In this trip, you will get to try local street foods, visit a local temple, and a local market! You'll have a nice boat trip through the mangroves and fisherman villages! Let's get ready to roll!","09:00 - Meet up at our meeting point- Airport (Don Mueang International Airport, Suvarnabhumi Airport)- Airport Rail Link Station (Hua Mak Station, Ramkhamhaeng Station)- BTS Station (Bang Chak, Bang Na, Bearing, Ekkamai)- Hotel lobby (in <a class=""auto-highlight"" href=""/to/Bangkok"" target=""_blank"">Bangkok</a> area)- MRT Station (Lat Phrao) / 10:15 - Let's start by visiting Wat Sothon Wararam Temple, which has a very sacred Buddha image and is regarded as one of the most revered Buddha images by the people in Thailand! / 11:15 - Time to have lunch! Then, let's resume by heading to Hong Thong Temple afterwards. / 12:30 - Wat Hong Thong Temple, also known as Wat Klang Nam, is located in a mangrove forest area, in Bang Pakong, Chachoengsao. The temple has walkways connecting the shore with the stupa of Phrathat Khongkha Mahachedi! / 13:00 - Then, let's go to Pak Nam Seafood Market in <a class=""auto-highlight"" href=""/to/Samut Prakan"" target=""_blank"">Samut Prakan</a>, and cross to the other side of the Chao Phraya river to see the Phra Samut Chedi Pagoda! You'll get to see lots of things around here! / 14:00 - Visit the Pak Nam Seafood Market and the Phra Samut Chedi Pagoda! / 14:45 - Let's take the local bus to Phra Chulachomklao Fort! I'm sure you'll get a new experience riding the local bus! / 15:30 - Arrive at the fortress. See the HTMS Pinklao Ship and mangrove forest walkway! / 16:30 - We head back to Pak Nam Pier and end the trip there! Thanks for joining me!",Samut Prakan
"Visit Local Markets: Umbrella Railway Market, Amphawa Floating Market and Damnoen Saduak Floating (Private Boat)","A fascinating day trip from <a class=""auto-highlight"" href=""/to/Bangkok"" target=""_blank"">Bangkok</a> to visit the 3 local markets where you can see a different picturesque scene of a lively and colorful market with local vendors actively selling fruits, foods, vegetable, local souvenirs.","06:45 - Meet up at hotel lobby (in <a class=""auto-highlight"" href=""/to/Bangkok"" target=""_blank"">Bangkok</a> area) / 08:30 - Visit the Railway Market of Mae Klong where you can see fresh market stalls lying on both sides of the railway tracks. / 10:00 - Visit <a class=""auto-highlight"" href=""/article/amphawa-floating-market"" target=""_blank"">Amphawa Floating Market</a> - by the canal near Wat Amphawan Chetiyaram. On weekend, the <a class=""auto-highlight"" href=""/article/amphawa-floating-market"" target=""_blank"">Amphawa</a> Canal is occupied by vendors who pack their boats with food and drinks, such as fried sea mussel, noodles, coffee. / 11:30 - Lunch (local food) / 12:00 - Visit <a class=""auto-highlight"" href=""/article/damnoen-saduak"" target=""_blank"">Damnoen Saduak Floating Market</a> - route we visit farmhouse along the way and watch locals produce sugar from coconut. The tour continues with a 60-120 minutes speedboat trip along fruit plantation to see Thai traditional way of life. / 14:00 - Visit Elephants village. / 14:45 - Depart from the Elephants village for heading back to <a class=""auto-highlight"" href=""/to/Bangkok"" target=""_blank"">Bangkok</a>. / 17:00 - Arrive in <a class=""auto-highlight"" href=""/to/Bangkok"" target=""_blank"">Bangkok</a> and transfer to the hotel.",Samut Songkhram
"Be a Local at Chachoengsao: Temples, Floating Market & Bird Watching Tour!  ","Travel with me, your Local Expert to a nearby Chachoengsao province! Pay a visit to local temples, shop at a floating market, and try many Thai street foods together! We'll also top that off with some relaxing bird watching at the end of the trip!","09:00 - Meet up at our meeting point- Airport Rail Link Station (Hua Mak Station)- Airport (Don Mueang International Airport, Suvarnabhumi Airport)- MRT Station (Lat Phrao)- Hotel lobby (in <a class=""auto-highlight"" href=""/to/Bangkok"" target=""_blank"">Bangkok</a> area) / 10:30 - Start the trip by paying respect to the Lord Buddha at Wat Sothonwararam Temple. Then, we'll check out downtown Chachoengsao afterwards. / 11:15 - Let's take a boat ride to Baan Mai 100 Years Market! Walk around, and try different local foods and snacks. Help yourself! / 12:00 - Have lunch at Baan Mai Market. There are loads of choices of delicious, local Thai food you can choose from! (Halal menu is also available here for Muslim travelers!) / 13:00 - After lunch, let's go to Wat Hong Thong Temple. The temple itself is set on stilts above the sea! Essentially, it's a floating temple! / 14:00 - Then, let's head to <a class=""auto-highlight"" href=""/article/bang-pu"" target=""_blank"">Bang Pu</a> Seaside Resort! / 15:15 - Arrive at <a class=""auto-highlight"" href=""/article/bang-pu"" target=""_blank"">Bang Pu</a> Seaside Resort. Let's do some bird watching here, since there are 124 species of migrating birds! The most common migratory birds are the brown-headed gulls from Russia and Mongolia! Enjoy the natural atmosphere! / 16:30 - Leave <a class=""auto-highlight"" href=""/article/bang-pu"" target=""_blank"">Bang Pu</a> Seaside Resort, and travel back to your hotel, where your trip will end! I hope you enjoyed my trip!",Chachoengsao
